,City,State,Country,timeframe,Latitude,Longitude
222,Miami Beach,FL,USA,26-Mar-14,25.790654,-80.1300455
223,Miami Beach,FL,USA,27-Mar-14,25.790654,-80.1300455
224,Miami Beach,FL,USA,27-Mar-14,25.790654,-80.1300455
225,London,ONT,Canada,29-Mar-14,51.5073509,-0.1277583
226,Fairfield,CT,USA,10-Apr-14,41.1408363,-73.2612615
227,Nashville,TN,USA,11-Apr-14,36.1626638,-86.7816016
228,Mexico City,DF,Mexico,12-Apr-14,19.4326077,-99.133208
229,Las Vegas,NV,USA,13-Apr-14,36.1699412,-115.1398296
230,Las Vegas,NV,USA,17-Apr-14,36.1699412,-115.1398296
231,Hollywood,FL,USA,18-Apr-14,34.0928092,-118.3286614
232,Playa Blanca Farallon,COCLE,"Panama, Panama",19-Apr-14,8.3508456,-80.146927
233,Miami Beach,FL,USA,20-Apr-14,25.790654,-80.1300455
234,Las Vegas,NV,USA,24-Apr-14,36.1699412,-115.1398296
235,Ottawa,ON,Canada,25-Apr-14,45.4215296,-75.6971931
236,Towson,MD,USA,26-Apr-14,39.4014955,-76.6019125
237,Las Vegas,NV,USA,10-May-14,36.1699412,-115.1398296
238,Las Vegas,NV,USA,10-May-14,36.1699412,-115.1398296
239,Miami Beach,FL,USA,11-May-14,25.790654,-80.1300455
240,Winnipeg,MB,Canada,15-May-14,49.895136,-97.1383744
241,Montreal,QC,Canada,16-May-14,45.5016889,-73.567256
242,Las Vegas,NV,USA,17-May-14,36.1699412,-115.1398296
243,Tacoma,WA,USA,17-May-14,47.2528768,-122.4442906
244,Toronto,ON,Canada,18-May-14,43.653226,-79.3831843
245,Las Vegas,NV,USA,23-May-14,36.1699412,-115.1398296
246,Bethel,NY,USA,24-May-14,40.6098473,-122.3584268
247,Atlantic City,NJ,USA,26-May-14,39.3642834,-74.4229266
248,Las Vegas,NV,USA,14-Jun-14,36.1699412,-115.1398296
249,Chicago,IL,USA,15-Jun-14,41.8781136,-87.6297982
250,Chicago,IL,USA,15-Jun-14,41.8781136,-87.6297982
251,Las Vegas,NV,USA,20-Jun-14,36.1699412,-115.1398296
252,Las Vegas,NV,USA,20-Jun-14,36.1699412,-115.1398296
253,Washington,DC,USA,21-Jun-14,47.7510741,-120.7401385
254,Tegucigalpa,Honduras,Honduras,25-Jun-14,14.0722751,-87.192136
255,Belen,Costa Rica,Costa Rica,26-Jun-14,34.6627652,-106.7761546
256,Miami Beach,FL,USA,27-Jun-14,25.790654,-80.1300455
257,Atlantic City,NJ,USA,28-Jun-14,39.3642834,-74.4229266
258,Las Vegas,NV,USA,29-Jun-14,36.1699412,-115.1398296
259,Las Vegas,NV,USA,3-Aug-14,36.1699412,-115.1398296
260,Las Vegas,NV,USA,3-Aug-14,36.1699412,-115.1398296
261,New York,NY,USA,16-Aug-14,40.7127753,-74.0059728
262,Las Vegas,NV,USA,28-Aug-14,36.1699412,-115.1398296
263,Las Vegas,NV,USA,29-Aug-14,36.1699412,-115.1398296
264,Del Mar,CA,USA,29-Aug-14,38.6555469,-90.2971999
265,Philadelphia,PA,USA,30-Aug-14,39.9525839,-75.1652215
266,Los Angeles,CA,USA,31-Aug-14,34.0522342,-118.2436849
267,Atlantic City,NJ,USA,1-Sep-14,39.3642834,-74.4229266
268,Las Vegas,NV,USA,26-Sep-14,36.1699412,-115.1398296
269,Fairburn,GA,USA,27-Sep-14,33.5670562,-84.5810418
270,Las Vegas,NV,USA,3-Oct-14,36.1699412,-115.1398296
271,Las Vegas,NV,USA,4-Oct-14,36.1699412,-115.1398296
272,Eugene,OR,USA,4-Oct-14,44.0520691,-123.0867536
273,Milwaukee,WI,USA,10-Oct-14,43.0389025,-87.9064736
274,Minneapolis,MN,USA,11-Oct-14,44.977753,-93.2650108
275,Santa Clara,CA,USA,23-Oct-14,37.3541079,-121.9552356
276,Las Vegas,NV,USA,24-Oct-14,36.1699412,-115.1398296
277,Miami,FL,USA,25-Oct-14,25.7616798,-80.1917902
278,San Diego,CA,USA,26-Oct-14,32.715738,-117.1610838
279,San Jose,CA,USA,29-Oct-14,37.3382082,-121.8863286
280,Los Angeles,CA,USA,30-Oct-14,34.0522342,-118.2436849
281,Magna,UT,USA,31-Oct-14,37.6368958,-95.46275
282,Las Vegas,NV,USA,2-Nov-14,36.1699412,-115.1398296
283,Philadelphia,PA,USA,6-Nov-14,39.9525839,-75.1652215
284,Las Vegas,NV,USA,7-Nov-14,36.1699412,-115.1398296
285,Orlando,FL,USA,8-Nov-14,28.5383355,-81.3792365
286,Las Vegas,NV,USA,14-Nov-14,36.1699412,-115.1398296
287,Ledyard,CT,USA,15-Nov-14,41.4456444,-72.0181743
288,Atlantic City,NJ,USA,16-Nov-14,39.3642834,-74.4229266
289,Las Vegas,NV,USA,21-Nov-14,36.1699412,-115.1398296
290,Tempe,AZ,USA,21-Nov-14,33.4255104,-111.9400054
291,Miami Beach,FL,USA,22-Nov-14,25.790654,-80.1300455
292,Punta Cana,Dominican Republic,Dominican Republic,26-Dec-14,18.5820101,-68.4054729
293,Toronto,ON,Canada,27-Dec-14,43.653226,-79.3831843
294,Toronto,ON,Canada,27-Dec-14,43.653226,-79.3831843
295,Las Vegas,NV,USA,28-Dec-14,36.1699412,-115.1398296
296,Acapulco,Gro,Mexico,29-Dec-14,16.8531086,-99.8236533
297,Miami Beach,FL,USA,30-Dec-14,25.790654,-80.1300455
298,Vancouver,BC,Canada,31-Dec-14,49.2827291,-123.1207375
299,Cancun,Quintana Roo,Mexico,2-Jan-13,21.161908,-86.8515279
300,Winnipeg,MB,Canada,3-Jan-13,49.895136,-97.1383744
301,Winnipeg,MB,Canada,3-Jan-13,49.895136,-97.1383744
302,Saskatoon,SK,Canada,4-Jan-13,52.1332144,-106.6700458
303,Edmonton,AB,Canada,5-Jan-13,53.544389,-113.4909267
304,Edmonton,AB,Canada,5-Jan-13,53.544389,-113.4909267
305,Lethbridge,AB,Canada,6-Jan-13,49.69349,-112.84184
306,Las Vegas,NV,USA,9-Jan-13,36.1699412,-115.1398296
307,Waikiki,HI,USA,26-Jan-13,21.285002,-157.835698
308,Honolulu,HI,USA,27-Jan-13,21.3069444,-157.8583333
309,Verona,NY,USA,31-Jan-13,45.4386187,10.9933131
310,New Orleans,LA,USA,1-Feb-13,29.9510658,-90.0715323
311,Atlantic City,NJ,USA,2-Feb-13,39.3642834,-74.4229266
312,Chihuahua,Mexico,Mexico,7-Feb-13,28.4854458,-105.7820674
313,Monterrey - Nuevo León,Mexico,Mexico,8-Feb-13,25.6866142,-100.3161126
314,Scottsdale,AZ,USA,9-Feb-13,33.4941704,-111.9260519
315,Los Angeles,CA,USA,10-Feb-13,34.0522342,-118.2436849
316,Panama City,Panama,Panama,15-Feb-13,8.9824,-79.5199
317,Guadalajara,Jalisco,Mexico,16-Feb-13,20.6596988,-103.3496092
318,Miami,FL,USA,17-Mar-13,25.7616798,-80.1917902
319,Miami Beach,FL,USA,20-Mar-13,25.790654,-80.1300455
320,Miami Beach,FL,USA,21-Mar-13,25.790654,-80.1300455
321,Miami,FL,USA,24-Mar-13,25.7616798,-80.1917902
322,Atlantic City,NJ,USA,25-Mar-13,39.3642834,-74.4229266
323,San Juan del Sur,Rivas,Nicaragua,28-Mar-13,11.263406,-85.8639766
324,Orlando,FL,USA,9-Apr-13,28.5383355,-81.3792365
325,Columbus,OH,USA,11-Apr-13,39.9611755,-82.9987942
326,Rochester,MI,USA,12-Apr-13,43.1565779,-77.6088465
327,Athens,OH,USA,13-Apr-13,37.9838096,23.7275388
328,Buffalo,NY,USA,14-Apr-13,42.8864468,-78.8783689
329,Saint Louis,MO,USA,17-Apr-13,38.6270025,-90.1994042
330,Kent,OH,USA,18-Apr-13,41.1536674,-81.3578859
331,Storrs,CT,USA,19-Apr-13,41.8084314,-72.2495231
332,Babson Park,MA,USA,20-Apr-13,27.8319708,-81.5222974
333,Lowell,MA,USA,21-Apr-13,42.6334247,-71.3161718
334,Boston,MA,USA,21-Apr-13,42.3600825,-71.0588801
335,Atlantic City,NJ,USA,22-Apr-13,39.3642834,-74.4229266
336,Durham,NC,USA,24-Apr-13,35.9940329,-78.898619
337,Las Vegas,NV,USA,25-Apr-13,36.1699412,-115.1398296
338,New Britain,CT,USA,26-Apr-13,41.6612104,-72.7795419
339,Cortland,NY,USA,27-Apr-13,42.6011813,-76.1804843
340,Las Vegas,NV,USA,28-Apr-13,36.1699412,-115.1398296
341,San Francisco,CA,USA,15-May-13,37.7749295,-122.4194155
342,Houston,TX,USA,16-May-13,29.7604267,-95.3698028
343,Miami Beach,FL,USA,17-May-13,25.790654,-80.1300455
344,Las Vegas,NV,USA,18-May-13,36.1699412,-115.1398296
345,Gulf Shores,AL,USA,19-May-13,30.2460361,-87.7008193
346,Atlantic City,NJ,USA,20-May-13,39.3642834,-74.4229266
347,New York,NY,USA,23-May-13,40.7127753,-74.0059728
348,Quincy,MA,USA,24-May-13,42.2528772,-71.0022705
349,Tampa,FL,USA,25-May-13,27.950575,-82.4571776
350,Las Vegas,NV,USA,26-May-13,36.1699412,-115.1398296
351,Scottsdale,AZ,USA,26-May-13,33.4941704,-111.9260519
352,George,WA,USA,27-May-13,36.7071244,-95.9370565
353,Charlotte,NC,USA,20-Jun-13,35.2270869,-80.8431267
354,Las Vegas,NV,USA,21-Jun-13,36.1699412,-115.1398296
355,Torreon,COA,Mexico,22-Jun-13,25.5428443,-103.4067861
356,San Diego,CA,USA,23-Jun-13,32.715738,-117.1610838
357,Las Vegas,NV,USA,30-Jun-13,36.1699412,-115.1398296
358,Las Vegas,NV,USA,30-Jun-13,36.1699412,-115.1398296
359,Miami Beach,FL,USA,3-Jul-13,25.790654,-80.1300455
360,Las Vegas,NV,USA,4-Jul-13,36.1699412,-115.1398296
361,Hidalgo,TX,USA,4-Jul-13,20.0910963,-98.7623874
362,Calgary,AB,Canada,5-Jul-13,51.0486151,-114.0708459
363,Atlantic City,NJ,USA,6-Jul-13,39.3642834,-74.4229266
364,Santa Domingo,Dominican Republic,Dominican Republic,7-Jul-13,18.4860575,-69.9312117
365,Chicago,IL,USA,2-Aug-13,41.8781136,-87.6297982
366,Chicago,IL,USA,2-Aug-13,41.8781136,-87.6297982
367,Toronto,ON,Canada,3-Aug-13,43.653226,-79.3831843
368,Toronto,ONT,Canada,3-Aug-13,43.653226,-79.3831843
369,Las Vegas,NV,USA,4-Aug-13,36.1699412,-115.1398296
370,Atlantic City,NJ,USA,5-Aug-13,39.3642834,-74.4229266
371,Atlantic City,NJ,USA,5-Aug-13,39.3642834,-74.4229266
372,Las Vegas,NV,USA,11-Aug-13,36.1699412,-115.1398296
373,Las Vegas,NV,USA,29-Aug-13,36.1699412,-115.1398296
374,Mexico City,DF,Mexico,30-Aug-13,19.4326077,-99.133208
375,El Paso,TX,USA,31-Aug-13,31.7618778,-106.4850217
376,New York,NY,USA,1-Sep-13,40.7127753,-74.0059728
377,Las Vegas,NV,USA,2-Sep-13,36.1699412,-115.1398296
378,Las Vegas,NV,USA,22-Sep-13,36.1699412,-115.1398296
379,Fairburn,GA,USA,27-Sep-13,33.5670562,-84.5810418
380,Fairburn,GA,USA,28-Sep-13,33.5670562,-84.5810418
381,Las Vegas,NV,USA,29-Sep-13,36.1699412,-115.1398296
382,Las Vegas,NV,USA,29-Sep-13,36.1699412,-115.1398296
383,Chicago,IL,USA,4-Oct-13,41.8781136,-87.6297982
384,Las Vegas,NV,USA,5-Oct-13,36.1699412,-115.1398296
385,Las Vegas,NV,USA,6-Oct-13,36.1699412,-115.1398296
386,East Lansing,MI,USA,10-Oct-13,42.7369792,-84.4838654
387,Las Vegas,NV,USA,11-Oct-13,36.1699412,-115.1398296
388,Atlantic City,NJ,USA,12-Oct-13,39.3642834,-74.4229266
389,Austin,TX,USA,13-Oct-13,30.267153,-97.7430608
390,Dallas,TX,USA,14-Oct-13,32.7766642,-96.7969879
391,Corpus Christi,TX,USA,15-Oct-13,27.8005828,-97.396381
392,Houston,TX,USA,16-Oct-13,29.7604267,-95.3698028
393,Allendale,MI,USA,17-Oct-13,42.9721934,-85.9540407
394,Miami Beach,FL,USA,18-Oct-13,25.790654,-80.1300455
395,Tampa,FL,USA,19-Oct-13,27.950575,-82.4571776
396,Orlando,FL,USA,20-Oct-13,28.5383355,-81.3792365
397,Norfolk,VA,USA,23-Oct-13,36.8507689,-76.2858726
398,Philadelphia,PA,USA,24-Oct-13,39.9525839,-75.1652215
399,Columbia,MD,USA,25-Oct-13,36.1335816,-95.9515853
400,Nashville,TN,USA,26-Oct-13,36.1626638,-86.7816016
401,Wallingford,CT,USA,27-Oct-13,41.4570108,-72.8230736
402,Toronto,ON,Canada,29-Oct-13,43.653226,-79.3831843
403,Montreal,QC,Canada,30-Oct-13,45.5016889,-73.567256
404,Boston,MA,USA,31-Oct-13,42.3600825,-71.0588801
405,New York,NY,USA,1-Nov-13,40.7127753,-74.0059728
406,New York,NY,USA,2-Nov-13,40.7127753,-74.0059728
407,Rochester,NY,USA,3-Nov-13,43.1565779,-77.6088465
408,Columbus,OH,USA,5-Nov-13,39.9611755,-82.9987942
409,Detroit,MI,USA,6-Nov-13,42.331427,-83.0457538
410,Saint Louis,MO,USA,7-Nov-13,38.6270025,-90.1994042
411,Milwaukee,WI,USA,8-Nov-13,43.0389025,-87.9064736
412,Las Vegas,NV,USA,9-Nov-13,36.1699412,-115.1398296
413,Minneapolis,MN,USA,9-Nov-13,44.977753,-93.2650108
414,Saskatoon,SK,Canada,10-Nov-13,52.1332144,-106.6700458
415,Winnipeg,MB,Canada,11-Nov-13,49.895136,-97.1383744
416,Denver,CO,USA,12-Nov-13,39.7392358,-104.990251
417,Salt Lake City,UT,USA,13-Nov-13,40.7607793,-111.8910474
418,Los Angeles,CA,USA,15-Nov-13,34.0522342,-118.2436849
419,San Francisco,CA,USA,16-Nov-13,37.7749295,-122.4194155
420,San Francisco,CA,USA,16-Nov-13,37.7749295,-122.4194155
421,Portland,OR,USA,19-Nov-13,45.5122308,-122.6587185
422,Seattle,WA,USA,20-Nov-13,47.6062095,-122.3320708
423,Vernon,BC,Canada,21-Nov-13,34.003903,-118.230073
424,Edmonton,AB,Canada,22-Nov-13,53.544389,-113.4909267
425,Vancouver,BC,Canada,23-Nov-13,49.2827291,-123.1207375
426,TBA,TBA,USA,23-Nov-13,40.711123,-73.966358
427,Las Vegas,NV,USA,24-Nov-13,36.1699412,-115.1398296
428,Miami Beach,FL,USA,27-Nov-13,25.790654,-80.1300455
429,New York,NY,USA,19-Dec-13,40.7127753,-74.0059728
430,Aspen,CO,USA,21-Dec-13,39.1910983,-106.8175387
431,Punta Cana,Dominican Republic,Dominican Republic,26-Dec-13,18.5820101,-68.4054729
432,Miami Gardens,FL,USA,27-Dec-13,25.9420377,-80.2456045
433,Las Vegas,NV,USA,27-Dec-13,36.1699412,-115.1398296
434,Puerto de San Jose,Guatemala,Guatemala,28-Dec-13,13.930382,-90.8341624
435,San Salvador,El Salvador,El Salvador,29-Dec-13,13.6929403,-89.2181911
436,Acapulco Diamante,GRO.,Mexico,30-Dec-13,16.7896604,-99.8390005
437,Cancun,Quintana Roo,Mexico,31-Dec-13,21.161908,-86.8515279
438,San Juan,Puerto Rico,Puerto Rico,27-Oct-12,18.4655394,-66.1057355
439,New York,NY,USA,27-Dec-12,40.7127753,-74.0059728
440,San Francisco,CA,USA,29-Dec-12,37.7749295,-122.4194155
441,San Francisco,CA,USA,29-Dec-12,37.7749295,-122.4194155
442,Montreal,QC,Canada,30-Dec-12,45.5016889,-73.567256
443,Atlantic City,NJ,USA,31-Dec-12,39.3642834,-74.4229266
